,Home Team,Away Team,year,league,Home_win,Draw_win,Away_win,HT_results,AT_results
2414,BRIGHTON,SHEFFIELD UTD,2020,english,0.5961259117912976,0.25382622711228275,0.15004786109641977,"['lose', 'lose', 'draw', 'draw', 'draw', 'lose', 'draw', 'lose', 'draw', 'draw', 'win', 'draw', 'lose']","['lose', 'lose', 'draw', 'lose', 'lose', 'lose', 'lose', 'lose', 'win', 'lose', 'win', 'lose', 'lose']"
2415,TOTTENHAM,LEICESTER CITY,2020,english,0.4223787791465553,0.29968084042250615,0.27794038043093855,"['lose', 'draw', 'draw', 'win', 'win', 'win', 'lose', 'draw', 'win', 'lose', 'lose', 'win', 'win']","['win', 'lose', 'lose', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'win', 'lose', 'win', 'lose']"
2416,MAN UTD,LEEDS UTD,2020,english,0.5355134440851452,0.274901137482976,0.1895854184318787,"['lose', 'lose', 'draw', 'lose', 'win', 'draw', 'win', 'win', 'win', 'lose', 'win', 'draw', 'win']","['win', 'draw', 'lose', 'lose', 'draw', 'lose', 'win', 'win', 'win', 'lose', 'lose', 'win', 'lose']"
2417,WEST BROM,ASTON VILLA,2020,english,0.17781552320708188,0.1960105010052352,0.626173975787683,"['lose', 'draw', 'draw', 'lose', 'win', 'lose', 'lose', 'lose', 'lose', 'lose', 'draw', 'draw', 'win']","['win', 'win', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'lose', 'draw', 'lose', 'win', 'lose']"
2418,BURNLEY,WOLVES,2020,english,0.3520787430253739,0.28211040341982113,0.3658108535548049,"['lose', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win', 'lose', 'draw', 'draw']","['lose', 'win', 'draw', 'win', 'draw', 'lose', 'win', 'draw', 'lose', 'lose', 'win', 'draw', 'win']"
2419,CHELSEA,WEST HAM,2020,english,0.4342604833171408,0.28908434898469687,0.27665516769816234,"['lose', 'win', 'draw', 'win', 'draw', 'win', 'win', 'draw', 'lose', 'draw', 'win', 'win', 'draw']","['lose', 'win', 'draw', 'win', 'win', 'lose', 'draw', 'draw', 'win', 'win', 'lose', 'win', 'win']"
2420,LEICESTER CITY,MAN UTD,2020,english,0.3350883299113232,0.31667388609109437,0.3482377839975824,"['win', 'lose', 'lose', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'win', 'lose', 'win', 'lose', 'win']","['lose', 'lose', 'draw', 'lose', 'win', 'draw', 'win', 'win', 'win', 'lose', 'win', 'draw', 'win', 'win']"
2421,ASTON VILLA,CRYSTAL PALACE,2020,english,0.5764525409342505,0.21365777297926136,0.20988968608648825,"['win', 'win', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'lose', 'draw', 'lose', 'win', 'lose', 'draw']","['win', 'lose', 'draw', 'win', 'lose', 'draw', 'lose', 'draw', 'win', 'lose', 'win', 'lose', 'draw', 'win']"
2422,FULHAM,SOUTHAMPTON,2020,english,0.3085277795698494,0.2733736048138702,0.4180986156162803,"['lose', 'lose', 'lose', 'win', 'lose', 'draw', 'draw', 'draw', 'lose', 'lose', 'lose', 'draw', 'win', 'lose']","['lose', 'win', 'win', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'lose', 'lose', 'lose', 'draw', 'lose']"
2423,ARSENAL,CHELSEA,2020,english,0.37213723687682165,0.2781471930011074,0.349715570122071,"['win', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'win', 'draw', 'win', 'draw', 'win', 'lose', 'win']","['lose', 'win', 'draw', 'win', 'draw', 'win', 'win', 'draw', 'lose', 'draw', 'win', 'win', 'draw', 'win']"
2424,MAN CITY,NEWCASTLE,2020,english,0.6932382441185876,0.176394316996642,0.1303674388847705,"['win', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win', 'win', 'win', 'win', 'win', 'win', 'lose']","['lose', 'win', 'lose', 'win', 'lose', 'win', 'draw', 'draw', 'lose', 'lose', 'lose', 'win', 'draw', 'draw']"
